0.29	241.68	  17.15
0.52	242.67	  11.06
0.82	226.67	  12.34
1.1	214.93	  6.44
1.3	210.32	  7.12
1.51	203.26	  6.14
1.74	201.01	  3.76
1.97	199.71	  5.23
2.17	196.65	  7.07
2.32	193.97	  6.63
2.44	192.61	  6.22
2.57	191.4	  4.05
2.7	191.84	  3.76
2.82	192.93	  3.29
2.94	192.51	  3.7
3.06	192.54	  4.76
3.19	197.59	  8.86
3.3	200.61	  9.73
3.42	200.16	  6.08
3.54	199.11	  3.43
3.65	200.92	  7.1
3.77	204.13	  9.23
3.89	208.48	  9.79
4.01	215.06	  11.9
4.13	217.24	  8.67
4.25	212.75	  8.18
4.36	210.44	  4.87
4.47	211.66	  6.42
4.58	207.17	  6.82
4.7	204.11	  4.28
4.82	206.15	  4.52
4.93	209.06	  3.71
5.04	209.52	  4.25
5.15	207.54	  5.06
5.24	208.9	  9.63
5.32	208.38	  10.02
5.41	205.36	  4.74
5.52	205.82	  4.4
5.63	210.14	  7.93
5.74	210.94	  7.41
5.84	208.27	  2.84
5.95	210.6	  3.97
6.05	214.04	  5.47
6.13	217.1	  11.67
6.21	214.21	  15.33
6.28	214.19	  18.46
6.35	215.27	  13.26
6.42	209.18	  21.97
6.51	205.94	  20.53
6.61	203.96	  18.62
6.71	209.96	  1.64
6.79	209.73	  3.3
6.87	208.78	  3.44
6.96	207.64	  2.83
7.06	208.47	  4.98
7.14	207.87	  4.96
7.21	205.69	  2.87
7.28	204.68	  2.82
7.35	205.02	  3.67
7.41	205.48	  3.38
7.48	202.02	  7.3
7.54	201.82	  7.2
7.6	203.75	  2.28
7.66	203.36	  3.02
7.72	203.73	  3.58
7.78	204.03	  3.1
7.83	208.38	  10.8
7.87	210.16	  10.21
7.92	208.39	  7.09
7.95	209.52	  11.52
7.98	206.54	  10.4
7.99	204.74	  4.87
8.04	202.92	  7.16
8.17	198.71	  16.4
8.38	195.51	  18.8
8.61	188.61	  13.7
8.88	185.18	  13.73
9.16	179.9	  15.12
9.35	176.79	  47.92
9.43	179.48	  49.56
9.51	177	  19.42
9.61	188.14	  48.17
9.84	207.9	  59.99
10.13	203.08	  61.44
10.33	189	  53.36
10.43	177.57	  30.87
10.56	176.56	  26.96
10.81	185.25	  72.22
11.09	198.74	  70.78
11.31	190.52	  31.04
11.59	209.52	  64.58
11.89	218.16	  69.56
12.18	185.67	  60.42
12.46	177.61    53.11
12.76	187.25	  41.79
13.16	183.61	  63
13.63	169.95	  60.5
14.33	183.58	  58.46
15.35	210.68	  64.01
16.57	216.7	  49.18
18.43	175.61	  69.31
20.43	181.42	  91.02
23.81	199.71	  92.24
30.42	164.53	  67.49
42.97	134.85	  66.69
61.88	142.41	  44.9
81.39	145.05	  49.65
125.49	120.67	  82.77
353.29	82.83	  83.95
647.55	105.77	  96.74
817.71	118.92	  80.17
1012.54	126.69	  98.22
1279.93	140.53	  102.43

